"Start","s_count",e_count,quant,time(s),total_time(s),min,sec,gain,"",gain_per_second,gain_per_minute
0,0,0,a,0,0,0,,0,,0,"0,00"
25,0,"0,118",a,60,60,1,0,"0,118",,"0,001966666667","0,12"
50,"0,118","0,33",a,73,133,2,13,"0,212",,"0,002904109589","0,17"
75,"0,33","0,625",a,57,190,3,10,"0,295",,"0,005175438596","0,31"
100,"0,625","1,33",a-b,83,273,4,33,"0,705",,"0,008493975904","0,51"
125,"1,33","2,4",b,74,347,5,47,"1,07",,"0,01445945946","0,87"
150,"2,4",4,b,69,416,6,56,"1,6",,"0,0231884058","1,39"
175,4,"5,9",b,65,481,8,1,"1,9",,"0,02923076923","1,75"
200,"5,9","8,7",b,72,553,9,13,"2,8",,"0,03888888889","2,33"
225,"8,7","12,1",b,77,630,10,30,"3,4",,"0,04415584416","2,65"
250,"12,1","16,5",,75,705,11,45,"4,4",,"0,05866666667","3,52"
275,"16,5","21,8",,85,790,13,10,"5,3",,"0,06235294118","3,74"
300,"21,8","28,1",,90,880,14,40,"6,3",,"0,07","4,20"
325,"28,1","35,6",,100,980,16,20,"7,5",,"0,075","4,50"
350,"35,6","44,3",,106,1086,18,6,"8,7",,"0,0820754717","4,92"
375,"44,3","54,3",,123,1209,20,9,10,,"0,08130081301","4,88"
400,"54,3","65,8",,132,1341,22,21,"11,5",,"0,08712121212","5,23"
425,"65,8","78,7",,160,1501,25,1,"12,9",,"0,080625","4,84"
450,"78,7","93,3",,190,1691,28,11,"14,6",,"0,07684210526","4,61"
